City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port alfred,-33.5906,26.891,20.1,93,100,0.89,ZA,1711328647
83,vadso,70.0744,29.7487,-12.91,72,100,0.0,NO,1711328648
84,yamada,39.4667,141.95,10.28,66,100,2.35,JP,1711328649
85,howrah,22.5892,88.3103,25.0,94,40,2.06,IN,1711328649
86,dudinka,69.4058,86.1778,-35.74,99,17,1.79,RU,1711328471
87,malaut,30.2167,74.4833,18.65,45,0,1.76,IN,1711328651
88,barra dos coqueiros,-10.9089,-37.0386,27.01,83,40,6.17,BR,1711328516
89,ola,59.5833,151.2833,-6.21,79,100,3.3,RU,1711328652
90,fortuna,40.5982,-124.1573,12.59,93,100,5.66,US,1711328653
91,fort st. john,56.2499,-120.8529,3.94,41,75,3.6,CA,1711328635
92,papao,-17.75,-149.55,30.82,76,47,4.12,PF,1711328654
93,labrador city,52.9463,-66.9114,-14.05,43,0,3.09,CA,1711328410
94,rongelap,11.1635,166.8941,27.25,80,15,8.82,MH,1711328656
95,guilin,25.2819,110.2864,25.06,83,13,2.01,CN,1711328418
96,coari,-4.085,-63.1414,22.36,99,100,0.92,BR,1711328442
97,neftcala,39.3742,49.2472,8.63,84,100,3.98,AZ,1711328658
98,bykhaw,53.5193,30.2469,0.51,90,8,2.33,BY,1711328659
99,belyy yar,53.6039,91.3903,-0.06,51,0,5.0,RU,1711328659
100,letlhakeng,-24.0944,25.0298,19.22,65,9,4.86,BW,1711328660
101,fort mcmurray,56.7268,-111.381,0.77,64,100,3.6,CA,1711328661
102,fort bragg,35.139,-79.006,9.34,56,0,2.06,US,1711328661
103,kavaratti,10.5669,72.642,28.56,63,16,4.18,IN,1711328662
104,vila velha,-20.3297,-40.2925,26.97,87,75,2.06,BR,1711328409
105,bandar lampung,-5.4254,105.258,25.59,86,100,0.75,ID,1711328420
106,port mathurin,-19.6833,63.4167,25.98,83,100,4.89,MU,1711328664
107,zeya,53.75,127.2667,-11.4,77,14,1.31,RU,1711328665
108,shahrak,34.1074,64.3052,5.62,50,52,1.47,AF,1711328666
109,tual,-5.6667,132.75,28.68,74,89,2.81,ID,1711328666
110,nayoro,44.3506,142.4578,1.69,69,65,6.11,JP,1711328667
111,turinsk,58.0458,63.696,1.23,83,100,4.36,RU,1711328668
112,ribeira brava,32.65,-17.0667,18.35,77,22,3.92,PT,1711328668
113,hermanus,-34.4187,19.2345,16.56,70,24,3.23,ZA,1711328669
114,port blair,11.6667,92.75,25.02,88,100,0.51,IN,1711328670
115,atafu village,-8.5421,-172.5159,29.63,72,8,3.97,TK,1711328670
116,mount hagen,-5.8581,144.2274,22.42,64,20,3.09,PG,1711328671
117,frolovo,49.7713,43.6622,0.77,86,85,3.42,RU,1711328672
118,westport,41.1415,-73.3579,4.95,54,7,3.13,US,1711328538
119,bratsk,56.1325,101.6142,-1.73,75,100,4.15,RU,1711328404
120,petropavlovsk-kamchatsky,53.0452,158.6483,-2.53,84,75,4.47,RU,1711328674
121,lebu,-37.6167,-73.65,14.3,89,49,6.58,CL,1711328675
122,zhalantun,48.0,122.7167,2.12,31,0,0.85,CN,1711328676
123,masterton,-40.9597,175.6575,19.5,54,86,7.28,NZ,1711328676
124,wailua homesteads,22.0669,-159.378,26.24,67,0,6.69,US,1711328678
125,capo d'orlando,38.1435,14.7305,14.09,67,0,0.49,IT,1711328679
126,minas de marcona,-15.2119,-75.1103,18.85,83,73,4.66,PE,1711328679
